Balayage complet {b1 anchor -> meilleur b2 oppose} pour tous les b1 du pool de base (4000 candidats, t=1..100, k=+/-1..10)
N1,N2 bornes a [1,65536]. Genere le 2026-08-29 09:45:11
==============================================================================================================

--- x0 = 13.457 --- (4000 appariements b1 valides : 2000 avec sign1=+, 2000 avec sign1=-  ;  4000 avec erreur < 1e-6) ---
       err |    t1   k1  sg1 |              b1 |    t2   k2  sg2 |              b2 |      N1      N2
  1.35e-13 |    72  -10    + |    92.855022824 |     7   -1    - |     6.985470721 |    5327   65356
  2.11e-13 |    54   -6    - |    52.189526983 |    92   -1    + |    11.279270473 |    3001   53375
  3.11e-13 |     6   -2    - |    16.065120811 |    95   -1    + |    11.280092050 |   40836   48925
  3.55e-13 |    76   -1    + |    11.274096413 |    98   -2    - |    15.913285236 |   34924   31037
  4.55e-13 |    39   -1    + |    11.251613779 |    97   -2    - |    15.913542383 |   51614   46337
  5.01e-13 |    59   -1    + |    11.266432521 |    89   -2    - |    15.915753143 |   13853   12342
  5.63e-13 |    24   -1    + |    11.229845346 |    92   -2    - |    15.914890377 |   40085   36322
  6.43e-13 |     4   -2    - |    16.110282639 |    92   -1    + |    11.279270473 |   48326   58879
  7.51e-13 |    52   -2    - |    15.931929014 |    93   -1    + |    11.279548745 |   41554   47231
  7.92e-13 |    84   -2    - |    15.917292488 |    97   -1    + |    11.280618468 |   29651   33519
  9.89e-13 |    20   -3    - |    25.038671909 |    97   -1    + |    11.280618468 |    4743   25240
  1.23e-12 |    53   -1    - |     6.866558072 |     5   -2    + |    20.174567049 |   43859   43029
  1.33e-12 |    89   -1    + |    11.278407708 |    90   -2    - |    15.915460767 |   40733   36096
  1.33e-12 |    90   -2    - |    15.915460767 |    89   -1    + |    11.278407708 |   36096   40733
  1.33e-12 |     5   -1    + |    11.109846765 |    94   -2    - |    15.914338286 |   37155   35489
  1.74e-12 |    96   -1    - |     6.849083252 |     4   -2    + |    20.148598496 |   45500   44931
  1.74e-12 |    19   -1    - |     6.912103970 |    10   -2    + |    20.239156973 |   39076   37709
  1.94e-12 |    77    2    + |   -15.919694471 |    89   -2    - |    15.915753143 |    3889   46465
  2.18e-12 |    74    3    + |   -24.985547024 |    90   -2    - |    15.915460767 |    3274   51195
  2.36e-12 |    64   -2    - |    15.925159656 |    89   -1    + |    11.278407708 |   52417   59384
  2.44e-12 |    16   -1    - |     6.922281410 |    11   -2    + |    20.246424982 |   43689   42050
  2.47e-12 |    96   -2    + |    20.345077599 |     3   -1    - |     7.083538425 |   49007   52964
  2.48e-12 |    87    1    + |    -6.851632660 |    98   -2    - |    15.913285236 |    6518   53891
  2.82e-12 |    51    9    - |   -83.779324411 |     1   -2    + |    19.905401285 |     139    2096
  3.01e-12 |    36   -3    + |    29.377818573 |     6   -1    - |     7.000400527 |    1419    3499
  3.02e-12 |    22   -1    + |    11.225355778 |    96   -2    - |    15.913803536 |   32636   29645
  3.05e-12 |    39   -1    - |     6.877826788 |     5   -2    + |    20.174567049 |   28881   28286
  3.08e-12 |    68   -2    - |    15.923312044 |    99   -1    + |    11.281128856 |   55835   63288
  3.49e-12 |    70   -1    + |    11.271712658 |   100   -2    - |    15.912782562 |   44105   39247
  3.54e-12 |    58   -1    + |    11.265879325 |    93   -2    - |    15.914612106 |   35127   31318
  3.55e-12 |    13   -2    - |    16.000519496 |    96   -1    + |    11.280357315 |   36339   42464
  3.65e-12 |    37   -2    - |    15.944660641 |    98   -1    + |    11.280875614 |   28674   32779
  3.74e-12 |    21    1    - |   -11.222874340 |     5   -2    + |    20.174567049 |    7480   27481
  3.80e-12 |    60    3    - |   -29.396412400 |     5   -2    + |    20.174567049 |    7113   45376
  3.85e-12 |    78   -4    - |    34.048772207 |    94   -1    + |    11.279822565 |    6371   60257
  4.31e-12 |    73   -1    + |    11.272941268 |    94   -2    - |    15.914338286 |   55292   49143
  4.32e-12 |    60   -2    - |    15.927189019 |    91   -1    + |    11.278987629 |   43683   49543
  4.41e-12 |    62   -2    - |    15.926149794 |    96   -1    + |    11.280357315 |   40652   46115
  4.43e-12 |    46   -8    + |    74.710934464 |     3   -1    - |     7.083538425 |    5195   49928
  4.60e-12 |    57   -2    - |    15.928849211 |    93   -1    + |    11.279548745 |   54555   61931
  4.81e-12 |    29   -2    + |    20.303682611 |     5   -1    - |     7.019593802 |   41634   44281
  5.03e-12 |    67   -1    + |    11.270402451 |    90   -2    - |    15.915460767 |   64133   57041
  5.08e-12 |    27   -2    - |    15.958540415 |    96   -1    + |    11.280357315 |   56912   65407
  5.09e-12 |    77   -2    - |    15.919694471 |    96   -1    + |    11.280357315 |   33359   37743
  5.16e-12 |    86   -3    - |    24.981380942 |    92   -1    + |    11.279270473 |    9684   51247
  5.54e-12 |    21   -2    - |    15.971286511 |    90   -1    + |    11.278700084 |   13777   15902
  5.56e-12 |    76   -2    + |    20.338816696 |     7   -1    - |     6.985470721 |   41373   43996
  5.56e-12 |    74    2    + |   -15.920826740 |    92   -2    - |    15.914890377 |    4438   53045
  5.61e-12 |    94   -2    + |    20.344542848 |    12   -1    - |     6.941394868 |   58878   62239
  5.71e-12 |     5   -2    - |    16.084314086 |    93   -1    + |    11.279548745 |   40087   48369
  5.80e-12 |    90   -4    - |    34.044901334 |    96   -1    + |    11.280357315 |    2039   19286
  5.81e-12 |    69   -1    + |    11.271285426 |    93   -2    - |    15.914612106 |   39427   35065
  6.06e-12 |    46   -2    - |    15.936268372 |    95   -1    + |    11.280092050 |   14997   17080
  6.11e-12 |    69    2    - |   -20.336005710 |     8   -2    + |    20.220732211 |   12391   61908
  6.34e-12 |    26   -2    + |    20.298527063 |     5   -1    - |     7.019593802 |   51675   54919
  6.70e-12 |    62   -5    - |    43.120310645 |    95   -1    + |    11.280092050 |    3795   51712
  6.89e-12 |    95   -2    + |    20.344812334 |    12   -1    - |     6.941394868 |   47737   50464
  6.92e-12 |    26    1    - |   -11.233806779 |     6   -2    + |    20.193760324 |   10334   37875
  6.92e-12 |    62   -1    + |    11.268011057 |    96   -2    - |    15.913803536 |   43033   38342
  6.97e-12 |    83   -1    + |    11.276543920 |    96   -2    - |    15.913803536 |   37188   33005
  7.07e-12 |    68   -2    + |    20.335569090 |     6   -1    - |     7.000400527 |   45888   48887
  7.18e-12 |    13   -1    + |    11.193641355 |    99   -2    - |    15.913031995 |   64373   59323
  7.22e-12 |    55   -2    + |    20.328850469 |     3   -1    - |     7.083538425 |   17021   18352
  7.41e-12 |    82   -1    + |    11.276213562 |    89   -2    - |    15.915753143 |   23759   21073
  7.42e-12 |    82   -4    + |    38.470374413 |     6   -1    - |     7.000400527 |    9633   37319
  7.47e-12 |    28   -2    + |    20.302056397 |     7   -1    - |     6.985470721 |   43279   45777
  7.51e-12 |    36    6    + |   -52.204663980 |    96   -2    - |    15.913803536 |    1232   32927
  7.68e-12 |    17    5    + |   -43.177472293 |    99   -2    - |    15.913031995 |    2629   60623
  7.88e-12 |    97   -2    - |    15.913542383 |   100   -1    + |    11.281378289 |   55343   62489
  7.88e-12 |   100   -1    + |    11.281378289 |    97   -2    - |    15.913542383 |   62489   55343
  8.02e-12 |    43   -1    + |    11.255389754 |    94   -2    - |    15.914338286 |   34939   31303
  8.03e-12 |    55   -1    + |    11.264130185 |    90   -2    - |    15.915460767 |   51087   45568
  8.14e-12 |    37   -1    + |    11.249500210 |    90   -2    - |    15.915460767 |   61667   55372
  8.49e-12 |    52   -1    - |     6.867208730 |     6   -2    + |    20.193760324 |   54593   53402
  8.71e-12 |    50   -1    + |    11.260872462 |    94   -2    - |    15.914338286 |   57000   50941
  8.81e-12 |    30   -1    + |    11.240506592 |   100   -2    - |    15.912782562 |   34011   30697
  9.11e-12 |    11   -1    + |    11.181704698 |    97   -2    - |    15.913542383 |   60991   56491
  9.14e-12 |     2   -2    - |    16.211720995 |    91   -1    + |    11.278987629 |   46241   58485
  9.28e-12 |    58   -1    - |     6.863561242 |     4   -2    + |    20.148598496 |   50378   49639
  9.40e-12 |    11   -2    - |    16.012456153 |    93   -1    + |    11.279548745 |   40795   47877
  9.51e-12 |    74   -2    - |    15.920826740 |    89   -1    + |    11.278407708 |    8585    9709
  9.56e-12 |    51   -3    - |    24.997318993 |   100   -1    + |    11.281378289 |    1462    7755
  9.68e-12 |    56   -3    - |    24.994152313 |    89   -1    + |    11.278407708 |   11326   59979
  9.81e-12 |    47   -7    - |    61.259089264 |    96   -1    + |    11.280357315 |    1761   38674
  9.91e-12 |    70   -2    - |    15.922448193 |    94   -1    + |    11.279822565 |   22567   25555
  1.02e-11 |    52   -1    + |    11.262231837 |    96   -2    - |    15.913803536 |   55355   49451
  1.06e-11 |    39   -4    + |    38.445774630 |     2   -1    - |     7.147000711 |   12433   49237
  1.07e-11 |    86   -2    - |    15.916660659 |    99   -1    + |    11.281128856 |   19145   21642
  1.07e-11 |    43    4    - |   -38.449550605 |     3   -2    + |    20.110622426 |    2727   21274
  1.08e-11 |    41    4    - |   -38.447731674 |     7   -2    + |    20.208690130 |    5683   43689
  1.09e-11 |    86    8    + |   -70.304982360 |    90   -2    - |    15.915460767 |     409   13935
  1.09e-11 |    44   -2    + |    20.320972656 |     6   -1    - |     7.000400527 |   52287   55586
  1.10e-11 |    32   -3    - |    25.015505959 |    92   -1    + |    11.279270473 |   11047   58633
  1.11e-11 |    58    2    - |   -20.330599609 |     4   -2    + |    20.148598496 |   10496   52997
  1.17e-11 |    48   -1    + |    11.259429022 |    97   -2    - |    15.913542383 |   56649   50677
  1.19e-11 |    47   -1    + |    11.258673005 |    97   -2    - |    15.913542383 |   48833   43700
  1.23e-11 |    34   -1    - |     6.883453644 |    12   -2    + |    20.252765983 |   38930   37657
  1.24e-11 |    73   -5    - |    43.115380434 |    95   -1    + |    11.280092050 |    3828   52153
  1.26e-11 |    60   -6    - |    52.186070153 |    99   -1    + |    11.281128856 |    1515   26966
  1.26e-11 |    17   -1    + |    11.210849409 |    99   -2    - |    15.913031995 |   25171   23020
  1.26e-11 |    45   -2    - |    15.937074763 |    89   -1    + |    11.278407708 |   56401   64206
  1.26e-11 |    68   -1    + |    11.270848807 |    93   -2    - |    15.914612106 |   37381   33252
  1.26e-11 |    67   -2    - |    15.923758400 |    96   -1    + |    11.280357315 |   39329   44571
  1.27e-11 |    84    2    - |   -20.341588646 |     1   -2    + |    19.905401285 |    3107   16285
  1.28e-11 |    31   -2    + |    20.306695850 |     6   -1    - |     7.000400527 |   18938   20091
  1.28e-11 |    56   -2    + |    20.329449105 |     5   -1    - |     7.019593802 |   37718   40267
  1.30e-11 |    93   -1    + |    11.279548745 |   100   -2    - |    15.912782562 |   15873   14074
  1.30e-11 |   100   -2    - |    15.912782562 |    93   -1    + |    11.279548745 |   14074   15873
  1.34e-11 |    77   -4    + |    38.468627231 |    10   -1    - |     6.955003878 |   12536   48223
  1.35e-11 |    70   -6    - |    52.181329327 |    98   -1    + |    11.280875614 |    3055   54364
  1.35e-11 |    31   -1    + |    11.241975566 |    90   -2    - |    15.915460767 |   32953   29690
  1.36e-11 |    22   -7    + |    65.613677480 |     1   -1    - |     7.288759566 |    6961   58860
  1.38e-11 |    48   -2    + |    20.324149306 |     2   -1    - |     7.147000711 |   33229   36163
  1.40e-11 |    55   -2    - |    15.930030666 |    94   -1    + |    11.279822565 |   50696   57585
  1.40e-11 |    80   -1    - |     6.853906205 |     4   -2    + |    20.148598496 |   43701   43123
  1.41e-11 |    98   -7    - |    61.236886655 |    89   -1    + |    11.278407708 |    2790   61189
  1.42e-11 |    16    5    - |   -47.466040292 |     3   -2    + |    20.110622426 |    1797   16454
  1.43e-11 |    49   -2    - |    15.933999066 |    89   -1    + |    11.278407708 |   10754   12227
  1.44e-11 |    79  -10    + |    92.857667686 |     9   -1    - |     6.963449274 |    3932   48079
  1.48e-11 |    18    4    - |   -38.408388899 |     3   -2    + |    20.110622426 |    1903   14834
  1.49e-11 |     3    7    - |   -65.434223845 |     7   -2    + |    20.208690130 |    2908   33979
  1.50e-11 |    83   -1    - |     6.852896647 |     8   -2    + |    20.220732211 |   32838   32063
  1.51e-11 |    58   -9    + |    83.783641594 |     3   -1    - |     7.083538425 |    3995   44082
  1.54e-11 |    73   -2    - |    15.921219583 |    90   -1    + |    11.278700084 |   42824   48445
  1.55e-11 |    12    9    - |   -83.705807969 |     4   -2    + |    20.148598496 |     671    9743
  1.58e-11 |    49   -2    + |    20.324882069 |     3   -1    - |     7.083538425 |   35759   38533
  1.60e-11 |    77   -1    + |    11.274466380 |    89   -2    - |    15.915753143 |   53560   47543
  1.60e-11 |    34   -1    + |    11.245986923 |    97   -2    - |    15.913542383 |   33427   30086
  1.61e-11 |    71   -1    + |    11.272130835 |    91   -2    - |    15.915173222 |   36166   32145
  1.62e-11 |    66   -2    - |    15.924214859 |    98   -1    + |    11.280875614 |   51209   58059
  1.62e-11 |    75    2    + |   -15.920441779 |    97   -2    - |    15.913542383 |    1191   14243
  1.62e-11 |    44   -1    + |    11.256252373 |    94   -2    - |    15.914338286 |   61723   55278
  1.65e-11 |    15   -3    + |    29.332546815 |     3   -1    - |     7.083538425 |   24350   60653
  1.65e-11 |    62   -2    + |    20.332731341 |    12   -1    - |     6.941394868 |   51799   54662
  1.66e-11 |    51   -1    - |     6.867878426 |    10   -2    + |    20.239156973 |   25121   24406
  1.69e-11 |    46   -1    + |    11.257892479 |    94   -2    - |    15.914338286 |   50083   44820
  1.70e-11 |    30   -1    - |     6.888933975 |    12   -2    + |    20.252765983 |   62108   60027
  1.71e-11 |    32   -1    - |     6.886065391 |     9   -2    + |    20.230711577 |   33839   32826
  1.71e-11 |     3   -2    - |    16.148258708 |    96   -1    + |    11.280357315 |   30077   37188
  1.74e-11 |     7   -1    + |    11.143969847 |    91   -2    - |    15.915173222 |   47523   44717
  1.75e-11 |    11    2    + |   -16.012456153 |    98   -2    - |    15.913285236 |    1235   14817
  1.75e-11 |    54  -10    - |    88.448408118 |    92   -1    + |    11.279270473 |     590   20317
  1.76e-11 |    10   -1    - |     6.955003878 |    11   -2    + |    20.246424982 |   14905   14274
  1.76e-11 |    11   -2    + |    20.246424982 |    10   -1    - |     6.955003878 |   14274   14905
  1.76e-11 |    46   -6    + |    56.581493897 |     9   -1    - |     6.963449274 |    9123   60587
  1.76e-11 |    27   -1    - |     6.893820131 |     8   -2    + |    20.220732211 |   64753   62833
  1.76e-11 |    29   -2    - |    15.955198523 |    99   -1    + |    11.281128856 |   43831   50324
  1.77e-11 |    11    2    - |   -20.246424982 |     6   -2    + |    20.193760324 |   11329   56678
  1.77e-11 |    41   -2    + |    20.318291107 |     8   -1    - |     6.973428639 |   48989   51843
  1.77e-11 |     7   -2    + |    20.208690130 |    12   -1    - |     6.941394868 |   49705   51506
  1.77e-11 |    12   -1    - |     6.941394868 |     7   -2    + |    20.208690130 |   51506   49705
  1.79e-11 |   100    8    + |   -70.301104264 |    99   -2    - |    15.913031995 |    1524   51973
  1.80e-11 |    93    1    - |   -11.279548745 |     5   -2    + |    20.174567049 |   15647   57618
  1.80e-11 |    19    1    + |    -6.912103970 |    90   -2    - |    15.915460767 |    2811   23290
  1.81e-11 |     3   -1    + |    11.045902143 |    99   -2    - |    15.913031995 |   26728   26239
  1.82e-11 |    50   -1    - |     6.868568105 |     3   -2    + |    20.110622426 |   36539   36181
  1.82e-11 |    66   -2    + |    20.334666276 |     1   -1    - |     7.288759566 |   55220   61571
  1.84e-11 |    58   -2    + |    20.330599609 |    11   -1    - |     6.947735869 |   19885   20998
  1.85e-11 |    57   -1    - |     6.864128927 |     1   -2    + |    19.905401285 |   54410   55629
  1.87e-11 |    18   -1    + |    11.214228048 |    96   -2    - |    15.913803536 |   58461   53368
  1.89e-11 |    12   -1    + |    11.188045699 |   100   -2    - |    15.912782562 |   61451   56776
  1.89e-11 |    83    3    - |   -29.405984487 |     1   -2    + |    19.905401285 |    9271   61625
  1.90e-11 |    69   10    - |   -92.853767979 |     2   -2    + |    20.047160140 |     964   15551
  1.90e-11 |     6   -1    + |    11.129040040 |   100   -2    - |    15.912782562 |   56888   53927
  1.92e-11 |    63   -1    - |     6.860928549 |     9   -2    + |    20.230711577 |   13613   13256
  1.93e-11 |    55   -1    - |     6.865310382 |    10   -2    + |    20.239156973 |   47323   45994
  1.94e-11 |     8   -2    + |    20.220732211 |    10   -1    - |     6.955003878 |   47423   49332
  1.95e-11 |    59   -1    - |     6.863008047 |    12   -2    + |    20.252765983 |   32636   31667
  1.95e-11 |    18   -5    + |    47.473109182 |    12   -1    - |     6.941394868 |    2578   13459
  1.97e-11 |    50   -2    - |    15.933288389 |    97   -1    + |    11.280618468 |   53171   60498
  2.00e-11 |    84    5    + |   -43.111453339 |    92   -2    - |    15.914890377 |    2659   61197
  2.02e-11 |    87   -2    - |    15.916352944 |    93   -1    + |    11.279548745 |   40266   45479
  2.02e-11 |    81    6    + |   -52.177164880 |    98   -2    - |    15.913285236 |     928   24797
  2.04e-11 |    14   -1    + |    11.198627101 |    95   -2    - |    15.914068801 |   61496   56523
  2.04e-11 |    34   -4    - |    34.077614495 |    95   -1    + |    11.280092050 |    6856   64943
  2.05e-11 |    77   -1    - |     6.854974187 |    11   -2    + |    20.246424982 |   24600   23921
  2.07e-11 |    21   -2    + |    20.287594624 |     6   -1    - |     7.000400527 |   55745   58974
  2.08e-11 |    30   -9    - |    79.406696245 |    89   -1    + |    11.278407708 |    2039   61724
  2.10e-11 |    36   -4    + |    38.442538856 |     2   -1    - |     7.147000711 |   13366   52925
  2.12e-11 |    68   -9    + |    83.788611076 |    11   -1    - |     6.947735869 |    4909   53041
  2.13e-11 |    86   -1    + |    11.277500192 |    94   -2    - |    15.914338286 |   33839   30013
  2.14e-11 |     8   -6    - |    52.297030058 |    96   -1    + |    11.280357315 |     968   17273
  2.14e-11 |    90    1    + |    -6.850740483 |   100   -2    - |    15.912782562 |    6445   53296
  2.15e-11 |    40   -3    - |    25.006270494 |    97   -1    + |    11.280618468 |    7155   37969
  2.16e-11 |    66   -3    + |    29.399386560 |    10   -1    - |     6.955003878 |    8039   19711
  2.16e-11 |     7   -2    - |    16.050191004 |    89   -1    + |    11.278407708 |   43593   51889
  2.18e-11 |    57   -3    + |    29.394752208 |     1   -1    - |     7.288759566 |   11820   30541
  2.20e-11 |    49   -1    + |    11.260161785 |    95   -2    - |    15.914068801 |   64913   58038
  2.22e-11 |     3   -3    - |    25.212978992 |    93   -1    + |    11.279548745 |    8294   44779
  2.24e-11 |    92   -1    + |    11.279270473 |    92   -2    - |    15.914890377 |   55069   48792
  2.24e-11 |    92   -2    - |    15.914890377 |    92   -1    + |    11.279270473 |   48792   55069
  2.28e-11 |    87   -1    + |    11.277807907 |    95   -2    - |    15.914068801 |   48164   42717
  2.30e-11 |     1   -1    - |     7.288759566 |    10   -2    + |    20.239156973 |   54817   49855
  2.30e-11 |    10   -2    + |    20.239156973 |     1   -1    - |     7.288759566 |   49855   54817
  2.34e-11 |    78    7    - |   -65.663150913 |    11   -2    + |    20.246424982 |     378    4405
  2.34e-11 |    33    1    + |    -6.884729854 |    89   -2    - |    15.915753143 |    7676   63505
  2.35e-11 |    47  -10    + |    92.841155558 |     5   -1    - |     7.019593802 |    4691   57848
  2.36e-11 |    66   -1    - |     6.859494575 |     1   -2    + |    19.905401285 |   27419   28053
  2.36e-11 |    31   -2    - |    15.952185285 |    95   -1    + |    11.280092050 |   46325   53098
  2.37e-11 |    41   -2    - |    15.940590028 |    99   -1    + |    11.281128856 |   16539   18878
  2.37e-11 |     8   -1    + |    11.156011928 |    90   -2    - |    15.915460767 |   56812   53173
  2.39e-11 |    15    3    + |   -25.055774887 |    92   -2    - |    15.914890377 |    1547   24240
  2.40e-11 |    26   -1    + |    11.233806779 |    98   -2    - |    15.913285236 |   53058   48023
  2.41e-11 |    88   -2    - |    15.916050488 |    93   -1    + |    11.279548745 |   34912   39427
  2.44e-11 |    93   -2    - |    15.914612106 |    97   -1    + |    11.280618468 |   35521   40111
  2.44e-11 |    97   -1    + |    11.280618468 |    93   -2    - |    15.914612106 |   40111   35521
  2.47e-11 |    72   -2    + |    20.337260555 |     6   -1    - |     7.000400527 |   56449   60153
  2.52e-11 |    79   -1    - |     6.854255434 |    11   -2    + |    20.246424982 |   56045   54504
  2.52e-11 |    98   -2    - |    15.913285236 |   100   -1    + |    11.281378289 |   46518   52519
  2.52e-11 |    80   -1    + |    11.275534363 |    94   -2    - |    15.914338286 |   32263   28641
  2.54e-11 |    81    7    + |   -61.241885163 |    97   -2    - |    15.913542383 |    1769   53792
  2.55e-11 |    50    5    - |   -47.519753597 |     9   -2    + |    20.230711577 |    6089   54813
  2.55e-11 |    28   -1    + |    11.237336114 |    99   -2    - |    15.913031995 |   23483   21223
  2.56e-11 |     1   -1    + |    10.840681001 |    91   -2    - |    15.915173222 |   32533   34626
  2.56e-11 |    82   -2    - |    15.917947289 |    91   -1    + |    11.278987629 |   53847   60842
  2.57e-11 |    70    1    - |   -11.271712658 |     8   -2    + |    20.220732211 |   12683   46370
  2.58e-11 |    16   -1    + |    11.207159158 |    90   -2    - |    15.915460767 |   53183   48670
  2.60e-11 |    40   -1    + |    11.252610641 |    95   -2    - |    15.914068801 |   44507   39930
  2.61e-11 |   100   -2    + |    20.346098573 |     4   -1    - |     7.045562355 |   26523   28499
  2.61e-11 |    54   -1    + |    11.263515002 |    90   -2    - |    15.915460767 |   58693   52367
  2.61e-11 |    30    3    + |   -25.018374543 |   100   -2    - |    15.912782562 |    3958   62011
  2.63e-11 |    56   -1    + |    11.264728822 |    93   -2    - |    15.914612106 |   63575   56711
  2.64e-11 |    94   -7    + |    65.668144266 |     3   -1    - |     7.083538425 |    7861   64397
  2.64e-11 |    82   -2    + |    20.340933845 |     2   -1    - |     7.147000711 |   59622   65045
  2.67e-11 |    65   10    - |   -92.851961596 |    11   -2    + |    20.246424982 |    3740   58561
  2.69e-11 |    25    1    - |   -11.231885447 |     4   -2    + |    20.148598496 |   12317   45444
  2.71e-11 |    36    1    - |   -11.248378005 |     6   -2    + |    20.193760324 |   16598   60869
  2.76e-11 |    17    1    + |    -6.918591159 |    89   -2    - |    15.915753143 |    5959   49382
  2.78e-11 |    70   -3    - |    24.987168476 |    91   -1    + |    11.278987629 |   11089   58704
  2.81e-11 |    19   -2    - |    15.976824253 |    90   -1    + |    11.278700084 |   48557   56170
  2.84e-11 |    52   -7    - |    61.255530432 |    96   -1    + |    11.280357315 |    1764   38737
  2.84e-11 |    78   -9    + |    83.792591481 |     4   -1    - |     7.045562355 |    2056   22555
  2.84e-11 |    71    1    + |    -6.857309732 |    90   -2    - |    15.915460767 |    2285   18881
  2.85e-11 |    83   -7    - |    61.241218349 |    92   -1    + |    11.279270473 |    2821   61899
  2.88e-11 |    89   -2    + |    20.343127991 |     2   -1    - |     7.147000711 |   32912   35917
  2.90e-11 |    98   -3    - |    24.978005520 |    92   -1    + |    11.279270473 |    9257   48973
  2.91e-11 |    42    1    + |    -6.874944045 |    94   -2    - |    15.914338286 |    5997   49619
  2.93e-11 |    83    4    + |   -34.047057498 |    96   -2    - |    15.913803536 |    2797   54082
  2.94e-11 |    38   -1    + |    11.250577843 |    99   -2    - |    15.913031995 |   32795   29462
  2.97e-11 |    17   -4    - |    34.112752010 |    98   -1    + |    11.280875614 |    6742   63995
  2.98e-11 |     2   -1    + |    10.982439856 |    94   -2    - |    15.914338286 |   27824   28019
  2.98e-11 |    74   -3    - |    24.985547024 |    90   -1    + |    11.278700084 |    8121   42980
  2.99e-11 |    26   -3    - |    25.025074356 |    96   -1    + |    11.280357315 |    3941   20945
  3.10e-11 |     2   -2    + |    20.047160140 |     1   -1    - |     7.288759566 |   33347   35628
  3.15e-11 |    19   -1    + |    11.217336598 |    92   -2    - |    15.914890377 |   59998   54671
  3.16e-11 |    47   -2    - |    15.935487846 |    99   -1    + |    11.281128856 |   48807   55595
  3.17e-11 |    86   -7    - |    61.240262077 |    89   -1    + |    11.278407708 |    2197   48187
  3.19e-11 |    75   -2    - |    15.920441779 |    92   -1    + |    11.279270473 |   51716   58501
  3.21e-11 |    33   -7    + |    65.633032415 |     6   -1    - |     7.000400527 |    6429   51953
  3.24e-11 |    81   -1    - |     6.853563461 |     6   -2    + |    20.193760324 |   32743   32095
  3.26e-11 |    65    5    + |   -43.118842659 |    99   -2    - |    15.913031995 |    1297   29877
  3.27e-11 |    69   -2    - |    15.922875425 |   100   -1    + |    11.281378289 |   36511   41382
  3.27e-11 |    30   -2    - |    15.953654259 |    90   -1    + |    11.278700084 |    9333   10697
  3.27e-11 |    64   -7    + |    65.657322897 |     2   -1    - |     7.147000711 |    1977   16355
  3.27e-11 |    58    1    + |    -6.863561242 |    95   -2    - |    15.914068801 |    3223   26655
  3.29e-11 |    15   -2    + |    20.267826531 |     3   -1    - |     7.083538425 |   57255   61184
  3.31e-11 |    48    1    - |   -11.259429022 |    12   -2    + |    20.252765983 |    8549   31093
  3.31e-11 |    27   -1    + |    11.235620436 |    95   -2    - |    15.914068801 |   50551   45702
  3.32e-11 |    16   -2    + |    20.271879441 |     6   -1    - |     7.000400527 |   19643   20733
  3.34e-11 |    14    2    + |   -15.995533750 |    98   -2    - |    15.913285236 |    1717   20588
  3.35e-11 |    90   -1    - |     6.850740483 |     5   -2    + |    20.174567049 |   25589   25165
  3.36e-11 |    20   -8    - |    70.362273327 |    97   -1    + |    11.280618468 |    1731   45260
  3.37e-11 |    39   -8    - |    70.330868774 |    94   -1    + |    11.279822565 |    2281   59586
  3.38e-11 |    88   -2    + |    20.342830647 |     3   -1    - |     7.083538425 |   22403   24204
  3.39e-11 |    93   -2    + |    20.344269028 |    12   -1    - |     6.941394868 |   55871   59058
  3.40e-11 |    23   -2    + |    20.292393997 |    11   -1    - |     6.947735869 |   24410   25633
  3.43e-11 |    17   -2    + |    20.275569692 |     1   -1    - |     7.288759566 |   27449   30343
  3.44e-11 |    41   -1    + |    11.253570823 |    95   -2    - |    15.914068801 |   56651   50803
  3.45e-11 |    82    1    - |   -11.276213562 |     6   -2    + |    20.193760324 |   11101   40756
  3.48e-11 |    65   -1    + |    11.269479043 |    93   -2    - |    15.914612106 |   55405   49316
  3.49e-11 |    55   -8    - |    70.318352368 |    89   -1    + |    11.278407708 |    2329   60787
  3.50e-11 |    72   -2    - |    15.921620580 |    92   -1    + |    11.279270473 |   48953   55402
  3.51e-11 |    21   -1    + |    11.222874340 |    92   -2    - |    15.914890377 |   57931   52657
  3.52e-11 |    63   -2    - |    15.925648833 |   100   -1    + |    11.281378289 |   48327   54836
  3.56e-11 |    86   -2    + |    20.342220476 |     1   -1    - |     7.288759566 |   41269   46066
  3.57e-11 |    51   -2    - |    15.932598709 |    94   -1    + |    11.279822565 |   49822   56651
  3.58e-11 |    78   -3    - |    24.984051923 |    94   -1    + |    11.279822565 |   11423   60479
  3.61e-11 |    32   -1    + |    11.243375176 |    98   -2    - |    15.913285236 |   60329   54369
  3.62e-11 |    27   -6    + |    56.559221854 |     6   -1    - |     7.000400527 |    9056   60455
  3.62e-11 |    43    1    - |   -11.255389754 |    12   -2    + |    20.252765983 |   10829   39379
  3.64e-11 |    98    2    + |   -15.913285236 |    91   -2    - |    15.915173222 |    4982   59525
  3.68e-11 |     1   -2    + |    19.905401285 |     1   -1    - |     7.288759566 |   60348   63089
  3.70e-11 |    67    1    + |    -6.859038116 |    92   -2    - |    15.914890377 |    7081   58529
  3.72e-11 |    76   -1    - |     6.855344155 |     8   -2    + |    20.220732211 |   56630   55273
  3.78e-11 |    50   -3    - |    24.998008672 |    95   -1    + |    11.280092050 |   11152   59123
  3.79e-11 |    84   -3    - |    24.982012772 |    97   -1    + |    11.280618468 |   10095   53458
  3.82e-11 |    87   -2    + |    20.342528191 |     4   -1    - |     7.045562355 |   29441   31618
